dataset,model,encoder_profile,population,K,reference,alternative,control_family,rank_origin,intervention,catalog_size,aggregation,eligible_queries,highest_relevance_pairs,C0_Recall,mean_over_seven_schedules_Recall,VI,Always,Never,Always_ci_low,Always_ci_high,Never_ci_low,Never_ci_high,VI_ci_low,VI_ci_high,invariance_basis
wands,minilm,native,historical_full,100,C0,lexical_descending,pure complete-entry sorting,"new controlled retrieval, frozen pretrained encoder; not regenerated raw ranks",catalog_wide,42994,query_macro,379,25470,0.560904743068586,0.560904743068586,0.0,0.560904743068586,0.43909525693141405,0.5252698315097082,0.5955527570972704,0.4044472429027296,0.4747301684902918,0.0,0.0,all incoming schedules map to identical text; one fixed materialized index per rule
wands,minilm,native,historical_full,100,C0,lexical_descending,pure complete-entry sorting,"new controlled retrieval, frozen pretrained encoder; not regenerated raw ranks",catalog_wide,42994,pair_micro,379,25470,0.3519827247742442,0.3519827247742442,0.0,0.3519827247742442,0.6480172752257558,0.31051244310245774,0.3989693918642526,0.6010306081357474,0.6894875568975423,0.0,0.0,all incoming schedules map to identical text; one fixed materialized index per rule
wands,minilm,native,primary_existing_evaluation,20,C0,lexical_descending,pure complete-entry sorting,"new controlled retrieval, frozen pretrained encoder; not regenerated raw ranks",catalog_wide,42994,query_macro,308,21299,0.2955601032691645,0.2955601032691645,0.0,0.2955601032691645,0.7044398967308355,0.2596737230374838,0.33335003683600206,0.6666499631639979,0.7403262769625162,0.0,0.0,all incoming schedules map to identical text; one fixed materialized index per rule
wands,minilm,native,primary_existing_evaluation,20,C0,lexical_descending,pure complete-entry sorting,"new controlled retrieval, frozen pretrained encoder; not regenerated raw ranks",catalog_wide,42994,pair_micro,308,21299,0.10615521855486174,0.10615521855486174,0.0,0.10615521855486174,0.8938447814451382,0.08937852538995039,0.126757382486536,0.873242617513464,0.9106214746100496,0.0,0.0,all incoming schedules map to identical text; one fixed materialized index per rule
wands,minilm,native,primary_existing_evaluation,100,C0,lexical_descending,pure complete-entry sorting,"new controlled retrieval, frozen pretrained encoder; not regenerated raw ranks",catalog_wide,42994,query_macro,308,21299,0.5616156456205967,0.5616156456205967,0.0,0.5616156456205967,0.43838435437940326,0.5220974075596261,0.6007653227903359,0.3992346772096641,0.4779025924403739,0.0,0.0,all incoming schedules map to identical text; one fixed materialized index per rule
wands,minilm,native,primary_existing_evaluation,100,C0,lexical_descending,pure complete-entry sorting,"new controlled retrieval, frozen pretrained encoder; not regenerated raw ranks",catalog_wide,42994,pair_micro,308,21299,0.3444762664913846,0.3444762664913846,0.0,0.3444762664913846,0.6555237335086155,0.2976426598713354,0.3999044563141958,0.6000955436858042,0.7023573401286646,0.0,0.0,all incoming schedules map to identical text; one fixed materialized index per rule
wands,minilm,native,historical_full,20,C0,field_priority_type,pure complete-entry sorting,"new controlled retrieval, frozen pretrained encoder; not regenerated raw ranks",catalog_wide,42994,query_macro,379,25470,0.3001700821346212,0.3001700821346212,0.0,0.3001700821346212,0.6998299178653788,0.2672939322896897,0.33423557730596604,0.665764422694034,0.7327060677103103,0.0,0.0,all incoming schedules map to identical text; one fixed materialized index per rule
wands,minilm,native,historical_full,20,C0,field_priority_type,pure complete-entry sorting,"new controlled retrieval, frozen pretrained encoder; not regenerated raw ranks",catalog_wide,42994,pair_micro,379,25470,0.10997251668629761,0.10997251668629761,0.0,0.10997251668629761,0.8900274833137024,0.09474957568221869,0.1282180273111,0.8717819726889,0.9052504243177814,0.0,0.0,all incoming schedules map to identical text; one fixed materialized index per rule
wands,minilm,native,historical_full,100,C0,field_priority_type,pure complete-entry sorting,"new controlled retrieval, frozen pretrained encoder; not regenerated raw ranks",catalog_wide,42994,query_macro,379,25470,0.5720724661371096,0.5720724661371096,0.0,0.5720724661371096,0.4279275338628904,0.5376886033411611,0.6063635850512041,0.39363641494879587,0.4623113966588389,0.0,0.0,all incoming schedules map to identical text; one fixed materialized index per rule
wands,minilm,native,historical_full,100,C0,field_priority_type,pure complete-entry sorting,"new controlled retrieval, frozen pretrained encoder; not regenerated raw ranks",catalog_wide,42994,pair_micro,379,25470,0.3531213191990577,0.3531213191990577,0.0,0.3531213191990577,0.6468786808009424,0.31192668954663355,0.4003775591655165,0.5996224408344835,0.6880733104533665,0.0,0.0,all incoming schedules map to identical text; one fixed materialized index per rule
wands,minilm,native,primary_existing_evaluation,20,C0,field_priority_type,pure complete-entry sorting,"new controlled retrieval, frozen pretrained encoder; not regenerated raw ranks",catalog_wide,42994,query_macro,308,21299,0.2922094598722375,0.2922094598722375,0.0,0.2922094598722375,0.7077905401277624,0.2565659581293048,0.329134620788094,0.6708653792119059,0.7434340418706952,0.0,0.0,all incoming schedules map to identical text; one fixed materialized index per rule
wands,minilm,native,primary_existing_evaluation,20,C0,field_priority_type,pure complete-entry sorting,"new controlled retrieval, frozen pretrained encoder; not regenerated raw ranks",catalog_wide,42994,pair_micro,308,21299,0.10648387248227616,0.10648387248227616,0.0,0.10648387248227616,0.8935161275177238,0.08986085792515919,0.12708727841828885,0.8729127215817112,0.9101391420748408,0.0,0.0,all incoming schedules map to identical text; one fixed materialized index per rule
wands,minilm,native,primary_existing_evaluation,100,C0,field_priority_type,pure complete-entry sorting,"new controlled retrieval, frozen pretrained encoder; not regenerated raw ranks",catalog_wide,42994,query_macro,308,21299,0.5718680480868398,0.5718680480868398,0.0,0.5718680480868398,0.4281319519131602,0.5333326226666957,0.6107254762813589,0.38927452371864113,0.4666673773333043,0.0,0.0,all incoming schedules map to identical text; one fixed materialized index per rule
wands,minilm,native,primary_existing_evaluation,100,C0,field_priority_type,pure complete-entry sorting,"new controlled retrieval, frozen pretrained encoder; not regenerated raw ranks",catalog_wide,42994,pair_micro,308,21299,0.34611953612845675,0.34611953612845675,0.0,0.34611953612845675,0.6538804638715432,0.29907869979219065,0.4012708921591944,0.5987291078408056,0.7009213002078094,0.0,0.0,all incoming schedules map to identical text; one fixed materialized index per rule
wands,bge_base,native,historical_full,20,C0,lexical_ascending,pure complete-entry sorting,reused inherited exact ranks,catalog_wide,42994,query_macro,379,25470,0.3620332070211739,0.3620332070211739,0.0,0.3620332070211739,0.6379667929788261,0.3272385278150464,0.3982155541844643,0.6017844458155357,0.6727614721849535,0.0,0.0,all incoming schedules map to identical text; one fixed materialized index per rule
wands,bge_base,native,historical_full,20,C0,lexical_ascending,pure complete-entry sorting,reused inherited exact ranks,catalog_wide,42994,pair_micro,379,25470,0.12449941107184924,0.12449941107184924,0.0,0.12449941107184924,0.8755005889281507,0.10734452790048925,0.14516372590291002,0.85483627409709,0.8926554720995108,0.0,0.0,all incoming schedules map to identical text; one fixed materialized index per rule
wands,bge_base,native,historical_full,100,C0,lexical_ascending,pure complete-entry sorting,reused inherited exact ranks,catalog_wide,42994,query_macro,379,25470,0.637844862585538,0.637844862585538,0.0,0.637844862585538,0.36215513741446204,0.6037593529865076,0.6710295527238982,0.3289704472761018,0.3962406470134924,0.0,0.0,all incoming schedules map to identical text; one fixed materialized index per rule
wands,bge_base,native,historical_full,100,C0,lexical_ascending,pure complete-entry sorting,reused inherited exact ranks,catalog_wide,42994,pair_micro,379,25470,0.400942285041225,0.400942285041225,0.0,0.400942285041225,0.599057714958775,0.3535267137554546,0.45565939962662916,0.5443406003733708,0.6464732862445455,0.0,0.0,all incoming schedules map to identical text; one fixed materialized index per rule
wands,bge_base,native,primary_existing_evaluation,20,C0,lexical_ascending,pure complete-entry sorting,reused inherited exact ranks,catalog_wide,42994,query_macro,308,21299,0.36072423810213533,0.36072423810213533,0.0,0.36072423810213533,0.6392757618978646,0.32162891228295326,0.4008332749678611,0.5991667250321389,0.6783710877170468,0.0,0.0,all incoming schedules map to identical text; one fixed materialized index per rule
wands,bge_base,native,primary_existing_evaluation,20,C0,lexical_ascending,pure complete-entry sorting,reused inherited exact ranks,catalog_wide,42994,pair_micro,308,21299,0.12155500258228086,0.12155500258228086,0.0,0.12155500258228086,0.8784449974177191,0.10263913122653354,0.1454164844606259,0.8545835155393741,0.8973608687734664,0.0,0.0,all incoming schedules map to identical text; one fixed materialized index per rule
wands,bge_base,native,primary_existing_evaluation,100,C0,lexical_ascending,pure complete-entry sorting,reused inherited exact ranks,catalog_wide,42994,query_macro,308,21299,0.6323688141357365,0.6323688141357365,0.0,0.6323688141357365,0.36763118586426347,0.5940743434535416,0.6703053741069634,0.32969462589303655,0.4059256565464584,0.0,0.0,all incoming schedules map to identical text; one fixed materialized index per rule
wands,bge_base,native,primary_existing_evaluation,100,C0,lexical_ascending,pure complete-entry sorting,reused inherited exact ranks,catalog_wide,42994,pair_micro,308,21299,0.3887975961312738,0.3887975961312738,0.0,0.3887975961312738,0.6112024038687263,0.33558925506042886,0.45059232639115715,0.5494076736088429,0.6644107449395711,0.0,0.0,all incoming schedules map to identical text; one fixed materialized index per rule
wands,bge_base,native,historical_full,20,C0,lexical_descending,pure complete-entry sorting,"new controlled retrieval, frozen pretrained encoder; not regenerated raw ranks",catalog_wide,42994,query_macro,379,25470,0.3646413428787921,0.3646413428787921,0.0,0.3646413428787921,0.635358657121208,0.33016584265224913,0.40063520192431284,0.5993647980756871,0.6698341573477509,0.0,0.0,all incoming schedules map to identical text; one fixed materialized index per rule
wands,bge_base,native,historical_full,20,C0,lexical_descending,pure complete-entry sorting,"new controlled retrieval, frozen pretrained encoder; not regenerated raw ranks",catalog_wide,42994,pair_micro,379,25470,0.12642324303101687,0.12642324303101687,0.0,0.12642324303101687,0.8735767569689832,0.1092972503140848,0.14724109401098012,0.8527589059890199,0.8907027496859152,0.0,0.0,all incoming schedules map to identical text; one fixed materialized index per rule
wands,bge_base,native,historical_full,100,C0,lexical_descending,pure complete-entry sorting,"new controlled retrieval, frozen pretrained encoder; not regenerated raw ranks",catalog_wide,42994,query_macro,379,25470,0.6406514992586508,0.6406514992586508,0.0,0.6406514992586508,0.35934850074134916,0.6066543273719995,0.6730034922303865,0.32699650776961353,0.39334567262800046,0.0,0.0,all incoming schedules map to identical text; one fixed materialized index per rule
wands,bge_base,native,historical_full,100,C0,lexical_descending,pure complete-entry sorting,"new controlled retrieval, frozen pretrained encoder; not regenerated raw ranks",catalog_wide,42994,pair_micro,379,25470,0.40086376128778956,0.40086376128778956,0.0,0.40086376128778956,0.5991362387122104,0.35273411080955097,0.4561051737975489,0.5438948262024511,0.647265889190449,0.0,0.0,all incoming schedules map to identical text; one fixed materialized index per rule
wands,bge_base,native,primary_existing_evaluation,20,C0,lexical_descending,pure complete-entry sorting,"new controlled retrieval, frozen pretrained encoder; not regenerated raw ranks",catalog_wide,42994,query_macro,308,21299,0.3627554499887388,0.3627554499887388,0.0,0.3627554499887388,0.6372445500112611,0.3239496300782772,0.40346971262584763,0.5965302873741524,0.6760503699217228,0.0,0.0,all incoming schedules map to identical text; one fixed materialized index per rule
wands,bge_base,native,primary_existing_evaluation,20,C0,lexical_descending,pure complete-entry sorting,"new controlled retrieval, frozen pretrained encoder; not regenerated raw ranks",catalog_wide,42994,pair_micro,308,21299,0.12319827221935302,0.12319827221935302,0.0,0.12319827221935302,0.876801727780647,0.10395023815962956,0.1472637114266959,0.8527362885733041,0.8960497618403704,0.0,0.0,all incoming schedules map to identical text; one fixed materialized index per rule
wands,bge_base,native,primary_existing_evaluation,100,C0,lexical_descending,pure complete-entry sorting,"new controlled retrieval, frozen pretrained encoder; not regenerated raw ranks",catalog_wide,42994,query_macro,308,21299,0.6360915509016335,0.6360915509016335,0.0,0.6360915509016335,0.3639084490983665,0.597963193635715,0.674167438879603,0.32583256112039705,0.40203680636428496,0.0,0.0,all incoming schedules map to identical text; one fixed materialized index per rule
wands,bge_base,native,primary_existing_evaluation,100,C0,lexical_descending,pure complete-entry sorting,"new controlled retrieval, frozen pretrained encoder; not regenerated raw ranks",catalog_wide,42994,pair_micro,308,21299,0.3901591624019907,0.3901591624019907,0.0,0.3901591624019907,0.6098408375980093,0.3364435178103718,0.4524384624520247,0.5475615375479753,0.6635564821896283,0.0,0.0,all incoming schedules map to identical text; one fixed materialized index per rule
wands,bge_base,native,historical_full,20,C0,field_priority_type,pure complete-entry sorting,"new controlled retrieval, frozen pretrained encoder; not regenerated raw ranks",catalog_wide,42994,query_macro,379,25470,0.3664869328731114,0.3664869328731114,0.0,0.3664869328731114,0.6335130671268886,0.3316709132923896,0.40291989272525225,0.5970801072747478,0.6683290867076104,0.0,0.0,all incoming schedules map to identical text; one fixed materialized index per rule
wands,bge_base,native,historical_full,20,C0,field_priority_type,pure complete-entry sorting,"new controlled retrieval, frozen pretrained encoder; not regenerated raw ranks",catalog_wide,42994,pair_micro,379,25470,0.12583431488025126,0.12583431488025126,0.0,0.12583431488025126,0.8741656851197488,0.10856491810336918,0.1465002114236136,0.8534997885763864,0.8914350818966308,0.0,0.0,all incoming schedules map to identical text; one fixed materialized index per rule
wands,bge_base,native,historical_full,100,C0,field_priority_type,pure complete-entry sorting,"new controlled retrieval, frozen pretrained encoder; not regenerated raw ranks",catalog_wide,42994,query_macro,379,25470,0.640296694476435,0.640296694476435,0.0,0.640296694476435,0.359703305523565,0.6061840631967554,0.673404021384883,0.326595978615117,0.39381593680324456,0.0,0.0,all incoming schedules map to identical text; one fixed materialized index per rule
wands,bge_base,native,historical_full,100,C0,field_priority_type,pure complete-entry sorting,"new controlled retrieval, frozen pretrained encoder; not regenerated raw ranks",catalog_wide,42994,pair_micro,379,25470,0.403219473890852,0.403219473890852,0.0,0.403219473890852,0.596780526109148,0.35520089354773965,0.458030882689044,0.541969117310956,0.6447991064522604,0.0,0.0,all incoming schedules map to identical text; one fixed materialized index per rule
wands,bge_base,native,primary_existing_evaluation,20,C0,field_priority_type,pure complete-entry sorting,"new controlled retrieval, frozen pretrained encoder; not regenerated raw ranks",catalog_wide,42994,query_macro,308,21299,0.3648319471301408,0.3648319471301408,0.0,0.3648319471301408,0.6351680528698592,0.32594680843779616,0.40520487436267416,0.5947951256373258,0.6740531915622039,0.0,0.0,all incoming schedules map to identical text; one fixed materialized index per rule
wands,bge_base,native,primary_existing_evaluation,20,C0,field_priority_type,pure complete-entry sorting,"new controlled retrieval, frozen pretrained encoder; not regenerated raw ranks",catalog_wide,42994,pair_micro,308,21299,0.122963519414057,0.122963519414057,0.0,0.122963519414057,0.877036480585943,0.10390126170437373,0.14689607766791463,0.8531039223320853,0.8960987382956263,0.0,0.0,all incoming schedules map to identical text; one fixed materialized index per rule
wands,bge_base,native,primary_existing_evaluation,100,C0,field_priority_type,pure complete-entry sorting,"new controlled retrieval, frozen pretrained encoder; not regenerated raw ranks",catalog_wide,42994,query_macro,308,21299,0.635647927691668,0.635647927691668,0.0,0.635647927691668,0.364352072308332,0.5978617383501229,0.6739888410387552,0.3260111589612448,0.4021382616498771,0.0,0.0,all incoming schedules map to identical text; one fixed materialized index per rule
wands,bge_base,native,primary_existing_evaluation,100,C0,field_priority_type,pure complete-entry sorting,"new controlled retrieval, frozen pretrained encoder; not regenerated raw ranks",catalog_wide,42994,pair_micro,308,21299,0.39048781632940516,0.39048781632940516,0.0,0.39048781632940516,0.6095121836705948,0.33680708995843345,0.4528053977835913,0.5471946022164087,0.6631929100415666,0.0,0.0,all incoming schedules map to identical text; one fixed materialized index per rule
wands,gte_modernbert,native,historical_full,20,C0,lexical_ascending,pure complete-entry sorting,"new controlled retrieval, frozen pretrained encoder; not regenerated raw ranks",catalog_wide,42994,query_macro,379,25470,0.35702886759493035,0.35702886759493035,0.0,0.35702886759493035,0.6429711324050696,0.32208102193437205,0.39262419119850733,0.6073758088014927,0.677918978065628,0.0,0.0,all incoming schedules map to identical text; one fixed materialized index per rule
wands,gte_modernbert,native,historical_full,20,C0,lexical_ascending,pure complete-entry sorting,"new controlled retrieval, frozen pretrained encoder; not regenerated raw ranks",catalog_wide,42994,pair_micro,379,25470,0.12414605418138987,0.12414605418138987,0.0,0.12414605418138987,0.8758539458186101,0.10682342906682364,0.1449941487193838,0.8550058512806162,0.8931765709331764,0.0,0.0,all incoming schedules map to identical text; one fixed materialized index per rule
wands,gte_modernbert,native,historical_full,100,C0,lexical_ascending,pure complete-entry sorting,"new controlled retrieval, frozen pretrained encoder; not regenerated raw ranks",catalog_wide,42994,query_macro,379,25470,0.6311649911172531,0.6311649911172531,0.0,0.6311649911172531,0.3688350088827469,0.5966455714211788,0.6651106951977288,0.3348893048022712,0.4033544285788212,0.0,0.0,all incoming schedules map to identical text; one fixed materialized index per rule
wands,gte_modernbert,native,historical_full,100,C0,lexical_ascending,pure complete-entry sorting,"new controlled retrieval, frozen pretrained encoder; not regenerated raw ranks",catalog_wide,42994,pair_micro,379,25470,0.3873184138201806,0.3873184138201806,0.0,0.3873184138201806,0.6126815861798194,0.3405381275482698,0.441158558429623,0.5588414415703771,0.6594618724517303,0.0,0.0,all incoming schedules map to identical text; one fixed materialized index per rule
wands,gte_modernbert,native,primary_existing_evaluation,20,C0,lexical_ascending,pure complete-entry sorting,"new controlled retrieval, frozen pretrained encoder; not regenerated raw ranks",catalog_wide,42994,query_macro,308,21299,0.3574506102489512,0.3574506102489512,0.0,0.3574506102489512,0.6425493897510488,0.3186388232308594,0.39741501317100164,0.6025849868289983,0.6813611767691405,0.0,0.0,all incoming schedules map to identical text; one fixed materialized index per rule
wands,gte_modernbert,native,primary_existing_evaluation,20,C0,lexical_ascending,pure complete-entry sorting,"new controlled retrieval, frozen pretrained encoder; not regenerated raw ranks",catalog_wide,42994,pair_micro,308,21299,0.12150805202122165,0.12150805202122165,0.0,0.12150805202122165,0.8784919479787784,0.10219973924857975,0.14516698802185102,0.854833011978149,0.8978002607514203,0.0,0.0,all incoming schedules map to identical text; one fixed materialized index per rule
wands,gte_modernbert,native,primary_existing_evaluation,100,C0,lexical_ascending,pure complete-entry sorting,"new controlled retrieval, frozen pretrained encoder; not regenerated raw ranks",catalog_wide,42994,query_macro,308,21299,0.6263038693607819,0.6263038693607819,0.0,0.6263038693607819,0.37369613063921814,0.587948989160287,0.6640458136821764,0.3359541863178236,0.41205101083971296,0.0,0.0,all incoming schedules map to identical text; one fixed materialized index per rule
wands,gte_modernbert,native,primary_existing_evaluation,100,C0,lexical_ascending,pure complete-entry sorting,"new controlled retrieval, frozen pretrained encoder; not regenerated raw ranks",catalog_wide,42994,pair_micro,308,21299,0.3767313019390582,0.3767313019390582,0.0,0.3767313019390582,0.6232686980609419,0.32492144423894637,0.4367966260908647,0.5632033739091353,0.6750785557610537,0.0,0.0,all incoming schedules map to identical text; one fixed materialized index per rule
wands,gte_modernbert,native,historical_full,20,C0,lexical_descending,pure complete-entry sorting,"new controlled retrieval, frozen pretrained encoder; not regenerated raw ranks",catalog_wide,42994,query_macro,379,25470,0.3516635760864776,0.3516635760864776,0.0,0.3516635760864776,0.6483364239135224,0.3172643833528861,0.38719897114335766,0.6128010288566423,0.6827356166471139,0.0,0.0,all incoming schedules map to identical text; one fixed materialized index per rule
wands,gte_modernbert,native,historical_full,20,C0,lexical_descending,pure complete-entry sorting,"new controlled retrieval, frozen pretrained encoder; not regenerated raw ranks",catalog_wide,42994,pair_micro,379,25470,0.12355712603062427,0.12355712603062427,0.0,0.12355712603062427,0.8764428739693757,0.10640731774871352,0.14433791211787148,0.8556620878821285,0.8935926822512865,0.0,0.0,all incoming schedules map to identical text; one fixed materialized index per rule
wands,gte_modernbert,native,historical_full,100,C0,lexical_descending,pure complete-entry sorting,"new controlled retrieval, frozen pretrained encoder; not regenerated raw ranks",catalog_wide,42994,query_macro,379,25470,0.6258545789944364,0.6258545789944364,0.0,0.6258545789944364,0.3741454210055636,0.59161840664165,0.6595594797108084,0.3404405202891916,0.40838159335835,0.0,0.0,all incoming schedules map to identical text; one fixed materialized index per rule
wands,gte_modernbert,native,historical_full,100,C0,lexical_descending,pure complete-entry sorting,"new controlled retrieval, frozen pretrained encoder; not regenerated raw ranks",catalog_wide,42994,pair_micro,379,25470,0.3862190812720848,0.3862190812720848,0.0,0.3862190812720848,0.6137809187279152,0.33978563527328515,0.43974401688534065,0.5602559831146594,0.6602143647267149,0.0,0.0,all incoming schedules map to identical text; one fixed materialized index per rule
wands,gte_modernbert,native,primary_existing_evaluation,20,C0,lexical_descending,pure complete-entry sorting,"new controlled retrieval, frozen pretrained encoder; not regenerated raw ranks",catalog_wide,42994,query_macro,308,21299,0.350020765618362,0.350020765618362,0.0,0.350020765618362,0.649979234381638,0.3113125305648985,0.3902717262214749,0.6097282737785251,0.6886874694351015,0.0,0.0,all incoming schedules map to identical text; one fixed materialized index per rule
wands,gte_modernbert,native,primary_existing_evaluation,20,C0,lexical_descending,pure complete-entry sorting,"new controlled retrieval, frozen pretrained encoder; not regenerated raw ranks",catalog_wide,42994,pair_micro,308,21299,0.12061599136109677,0.12061599136109677,0.0,0.12061599136109677,0.8793840086389032,0.10180292781662106,0.1441720972393147,0.8558279027606853,0.898197072183379,0.0,0.0,all incoming schedules map to identical text; one fixed materialized index per rule
wands,gte_modernbert,native,primary_existing_evaluation,100,C0,lexical_descending,pure complete-entry sorting,"new controlled retrieval, frozen pretrained encoder; not regenerated raw ranks",catalog_wide,42994,query_macro,308,21299,0.6189095366255171,0.6189095366255171,0.0,0.6189095366255171,0.38109046337448294,0.5804010464212848,0.6573539097244838,0.3426460902755162,0.41959895357871524,0.0,0.0,all incoming schedules map to identical text; one fixed materialized index per rule
wands,gte_modernbert,native,primary_existing_evaluation,100,C0,lexical_descending,pure complete-entry sorting,"new controlled retrieval, frozen pretrained encoder; not regenerated raw ranks",catalog_wide,42994,pair_micro,308,21299,0.3749002300577492,0.3749002300577492,0.0,0.3749002300577492,0.6250997699422508,0.3234747290445092,0.43442838943723133,0.5655716105627686,0.6765252709554908,0.0,0.0,all incoming schedules map to identical text; one fixed materialized index per rule
wands,gte_modernbert,native,historical_full,20,C0,field_priority_type,pure complete-entry sorting,"new controlled retrieval, frozen pretrained encoder; not regenerated raw ranks",catalog_wide,42994,query_macro,379,25470,0.3598508975001344,0.3598508975001344,0.0,0.3598508975001344,0.6401491024998656,0.3256113427801008,0.39534983980042654,0.6046501601995735,0.6743886572198992,0.0,0.0,all incoming schedules map to identical text; one fixed materialized index per rule
wands,gte_modernbert,native,historical_full,20,C0,field_priority_type,pure complete-entry sorting,"new controlled retrieval, frozen pretrained encoder; not regenerated raw ranks",catalog_wide,42994,pair_micro,379,25470,0.12477424420887319,0.12477424420887319,0.0,0.12477424420887319,0.8752257557911268,0.10735027851304782,0.14577083787314504,0.854229162126855,0.8926497214869522,0.0,0.0,all incoming schedules map to identical text; one fixed materialized index per rule
wands,gte_modernbert,native,historical_full,100,C0,field_priority_type,pure complete-entry sorting,"new controlled retrieval, frozen pretrained encoder; not regenerated raw ranks",catalog_wide,42994,query_macro,379,25470,0.6322886892758861,0.6322886892758861,0.0,0.6322886892758861,0.3677113107241139,0.59805136718541,0.665578773871172,0.33442122612882796,0.40194863281459003,0.0,0.0,all incoming schedules map to identical text; one fixed materialized index per rule
wands,gte_modernbert,native,historical_full,100,C0,field_priority_type,pure complete-entry sorting,"new controlled retrieval, frozen pretrained encoder; not regenerated raw ranks",catalog_wide,42994,pair_micro,379,25470,0.3891244601491951,0.3891244601491951,0.0,0.3891244601491951,0.6108755398508049,0.34215236784662506,0.44321505079068,0.55678494920932,0.6578476321533749,0.0,0.0,all incoming schedules map to identical text; one fixed materialized index per rule
wands,gte_modernbert,native,primary_existing_evaluation,20,C0,field_priority_type,pure complete-entry sorting,"new controlled retrieval, frozen pretrained encoder; not regenerated raw ranks",catalog_wide,42994,query_macro,308,21299,0.3598249051649981,0.3598249051649981,0.0,0.3598249051649981,0.6401750948350019,0.32107588147354016,0.4000204452957724,0.5999795547042276,0.6789241185264598,0.0,0.0,all incoming schedules map to identical text; one fixed materialized index per rule
